id,szervezet
M01/1,MSZP
M01/2,JOBBIK
M01/3,LEHET MÁS A POLITIKA
M01/4,MAGYAR DEMOKRATA FÓRUM
M01/5,FIDESZ-KDNP
M02/1,Jobbik
M02/2,FIDESZ-KDNP
M02/3,LEHET MÁS A POLITIKA
M02/4,MAGYAR DEMOKRATA FÓRUM
M02/5,MSZP
M03/1,CIVIL MOZGALOM
M03/2,JOBBIK
M03/3,Lehet Más a Politika
M03/4,MSZP
M03/5,FIDESZ-KDNP
M03/6,MAGYAR DEMOKRATA FÓRUM
M04/1,LEHET MÁS A POLITIKA
M04/2,MSZP
M04/3,CIVIL MOZGALOM
M04/4,Fidesz-KDNP
M04/5,JOBBIK
M04/6,MDF
M05/1,Lehet Más a Politika
M05/2,Összefogás Párt BAZ M-i Lista
M05/3,MDF
M05/4,MSZDP
M05/5,FIDESZ-KDNP
M05/6,MAGYAR SZOCIALISTA PÁRT
M05/7,MUNKÁSPÁRT
M05/8,JOBBIK
M05/9,MIÉP
M06/1,MAGYAR DEMOKRATA FÓRUM
M06/2,LEHET MÁS A POLITIKA
M06/3,CIVIL MOZGALOM
M06/4,MIÉP
M06/5,FIDESZ-KDNP
M06/6,MSZP
M06/7,Jobbik
M07/1,CIVILEK
M07/2,Magyar Demokrata Fórum
M07/3,Jobbik
M07/4,LMP
M07/5,FIDESZ-KDNP
M07/6,MSZP
M08/1,CIVIL MOZGALOM
M08/2,LEHET MÁS A POLITIKA
M08/3,MSZP
M08/4,FIDESZ-KDNP
M08/5,MAGYAR DEMOKRATA FÓRUM
M08/6,Jobbik
M09/1,FIDESZ-KDNP
M09/2,MSZDP
M09/3,Lehet Más a Politika
M09/4,MSZP
M09/5,MDF
M09/6,Civil Mozgalom
M09/7,JOBBIK
M10/1,LEHET MÁS A POLITIKA
M10/2,MDF
M10/3,FIDESZ-KDNP
M10/4,MAGYAR SZOCIALISTA PÁRT
M10/5,JOBBIK
M11/1,JOBBIK
M11/2,MSZP
M11/3,MAGYAR DEMOKRATA FÓRUM
M11/4,LEHET MÁS A POLITIKA
M11/5,FIDESZ-KDNP
M11/6,MUNKÁSPÁRT
M12/1,LEHET MÁS A POLITIKA
M12/2,JOBBIK
M12/3,MAGYAR SZOCIALISTA PÁRT
M12/4,Magyar Demokrata Fórum
M12/5,FIDESZ-KDNP
M13/1,JOBBIK
M13/2,MSZP
M13/3,Munkáspárt
M13/4,FIDESZ-KDNP
M13/5,Lehet Más a Politika
M14/1,LEHET MÁS A POLITIKA
M14/2,FIDESZ-KDNP
M14/3,MAGYAR SZOCIALISTA PÁRT
M14/4,MAGYAR DEMOKRATA FÓRUM
M14/5,CIVIL MOZGALOM
M14/6,JOBBIK
M15/1,Magyar Szocialista Párt
M15/2,FIDESZ-KDNP
M15/3,JOBBIK
M15/4,LEHET MÁS A POLITIKA
M16/1,MAGYAR SZOCIALISTA PÁRT
M16/2,MUNKÁSPÁRT
M16/3,LEHET MÁS A POLITIKA
M16/4,FIDESZ-KDNP
M16/5,CIVIL MOZGALOM
M16/6,MSZDP
M16/7,JOBBIK
M16/8,MDF
M17/1,MSZP
M17/2,LEHET MÁS A POLITIKA
M17/3,MAGYAR DEMOKRATA FÓRUM
M17/4,FIDESZ-KDNP
M17/5,Jobbik
M18/1,CIVIL MOZGALOM
M18/2,LEHET MÁS A POLITIKA
M18/3,MAGYAR SZOCIALISTA PÁRT
M18/4,FIDESZ-KDNP
M18/5,JOBBIK
M19/1,JOBBIK
M19/2,MSZP
M19/3,MDF
M19/4,FIDESZ - KDNP
M19/5,Lehet Más a Politika
M20/1,MDF
M20/2,FIDESZ - KDNP
M20/3,MSZDP
M20/4,Magyar Szocialista Párt
M20/5,Lehet Más a Politika
M20/6,JOBBIK
