szervezet,megye,listas_elorejelzes,megyenevek
dk,1,0.07046145363937567,budapest
egyutt,1,0.019371728370093082,budapest
fidesz,1,0.4403819537607269,budapest
jobbik,1,0.16883000619940566,budapest
lmp,1,0.07180713635707128,budapest
momentum,1,0.03496576332681336,budapest
mszp-p,1,0.11732612114534897,budapest
dk,2,0.07297562073317332,baranya
egyutt,2,0.022531124187077724,baranya
fidesz,2,0.4329201060697324,baranya
jobbik,2,0.17192543537572952,baranya
lmp,2,0.06767433513872693,baranya
momentum,2,0.02177751071753415,baranya
mszp-p,2,0.13334003057686092,baranya
dk,3,0.06651260821395055,bacskiskun
egyutt,3,0.014633718583231549,bacskiskun
fidesz,3,0.43782094910886243,bacskiskun
jobbik,3,0.16864858910482258,bacskiskun
lmp,3,0.08144945493416218,bacskiskun
momentum,3,0.033837953722155194,bacskiskun
mszp-p,3,0.1202408891316505,bacskiskun
dk,4,0.07682586524077274,bekes
egyutt,4,0.012886067238747844,bekes
fidesz,4,0.4592754834567682,bekes
jobbik,4,0.17536083872426098,bekes
lmp,4,0.059610860109343626,bekes
momentum,4,0.03297822201236885,bekes
mszp-p,4,0.10620682601657269,bekes
dk,5,0.06700305582445784,baz
egyutt,5,0.014233071239436864,baz
fidesz,5,0.4479372945396782,baz
jobbik,5,0.17714507587839948,baz
lmp,5,0.06413527274069022,baz
momentum,5,0.02990401126886084,baz
mszp-p,5,0.12278638130731157,baz
dk,6,0.07475862252711493,csongrad
egyutt,6,0.02032694086700816,csongrad
fidesz,6,0.4324673359291449,csongrad
jobbik,6,0.17322758826067508,csongrad
lmp,6,0.06933800216693231,csongrad
momentum,6,0.033086234694069405,csongrad
mszp-p,6,0.11993943835389022,csongrad
dk,7,0.06806440208017316,fejer
egyutt,7,0.015823929412664417,fejer
fidesz,7,0.4472823719048604,fejer
jobbik,7,0.17398193889747113,fejer
lmp,7,0.08172064221175447,fejer
momentum,7,0.019615687608425726,fejer
mszp-p,7,0.11665519068348566,fejer
dk,8,0.07550008986401553,gyms
egyutt,8,0.01828594067108746,gyms
fidesz,8,0.448349933089185,gyms
jobbik,8,0.17312540724958275,gyms
lmp,8,0.06739132290432759,gyms
momentum,8,0.02513969606219844,gyms
mszp-p,8,0.11535177295843818,gyms
dk,9,0.07345722276703054,hb
egyutt,9,0.01495565435721539,hb
fidesz,9,0.44228205911978136,hb
jobbik,9,0.1748573504602252,hb
lmp,9,0.07620650090071107,hb
momentum,9,0.02408789885293031,hb
mszp-p,9,0.1172974763409411,hb
dk,10,0.06290038518855642,heves
egyutt,10,0.018885926608014084,heves
fidesz,10,0.44475001746762527,heves
jobbik,10,0.19052499942045487,heves
lmp,10,0.06559136509354771,heves
momentum,10,0.016139907008299075,heves
mszp-p,10,0.12435156201233753,heves
dk,11,0.06878861926723166,jnsz
egyutt,11,0.018830113962718588,jnsz
fidesz,11,0.4334060973113149,jnsz
jobbik,11,0.2036270179035735,jnsz
lmp,11,0.058907800819411604,jnsz
momentum,11,0.034544126794490176,jnsz
mszp-p,11,0.10504038674009457,jnsz
dk,12,0.07026491845357734,ke
egyutt,12,0.022241142082748855,ke
fidesz,12,0.44553117562864347,ke
jobbik,12,0.17743824733737296,ke
lmp,12,0.06536078226288572,ke
momentum,12,0.02643613626316538,ke
mszp-p,12,0.11587176077044124,ke
dk,13,0.07724631759089153,nograd
egyutt,13,0.012886067238747844,nograd
fidesz,13,0.44634400995677365,nograd
jobbik,13,0.21452443689751982,nograd
lmp,13,0.04999173073345549,nograd
momentum,13,0.01373996326059258,nograd
mszp-p,13,0.10841163712085408,nograd
dk,14,0.07179528159613995,pest
egyutt,14,0.017056598856265776,pest
fidesz,14,0.4372648782265267,pest
jobbik,14,0.17639386210878444,pest
lmp,14,0.0738233399764151,pest
momentum,14,0.03220946042388629,pest
mszp-p,14,0.11460074161081674,pest
dk,15,0.06630168477582321,somogy
egyutt,15,0.012886067238747844,somogy
fidesz,15,0.44493208216572716,somogy
jobbik,15,0.1974848362888037,somogy
lmp,15,0.06879404864652156,somogy
momentum,15,0.030191991434525393,somogy
mszp-p,15,0.10255345224868612,somogy
dk,16,0.06747682964538984,szszb
egyutt,16,0.016411501847447732,szszb
fidesz,16,0.45785867573096006,szszb
jobbik,16,0.1645807799409381,szszb
lmp,16,0.06996919351608819,szszb
momentum,16,0.03489257091279191,szszb
mszp-p,16,0.11195461120521914,szszb
dk,17,0.06077316232127112,tolna
egyutt,17,0.012886067238747844,tolna
fidesz,17,0.4410098453932775,tolna
jobbik,17,0.18464981245366688,tolna
lmp,17,0.0759937186753275,tolna
momentum,17,0.03254991198449999,tolna
mszp-p,17,0.11528164473204415,tolna
dk,18,0.07110019299322029,vas
egyutt,18,0.01795737694372288,vas
fidesz,18,0.45862112091419077,vas
jobbik,18,0.1729396973167245,vas
lmp,18,0.07230549343534566,vas
momentum,18,0.01881127296556762,vas
mszp-p,18,0.11140900823006321,vas
dk,19,0.07381005314091686,veszprem
egyutt,19,0.012886067238747844,veszprem
fidesz,19,0.4240665328022769,veszprem
jobbik,19,0.18135574868971363,veszprem
lmp,19,0.06690125805508218,veszprem
momentum,19,0.04365681929116288,veszprem
mszp-p,19,0.12046768358093465,veszprem
dk,20,0.06315359026285573,zala
egyutt,20,0.012886067238747844,zala
fidesz,20,0.45146545639469393,zala
jobbik,20,0.17466115106978944,zala
lmp,20,0.07265908934138061,zala
momentum,20,0.02311955992594091,zala
mszp-p,20,0.12519924856542652,zala
